CLASS,SMALL_OFFICE
HEADER,ENDUSE,DENSITY,DEMAND,ELECTRONIC,MOTORA,MOTORB,MOTORC,MOTORD,IP,IQ,PP,PQ,ZP,ZQ,PF
COMPOSITION,HEATING,0.01,0.1,0,0.3,0,0,0,0,0,0,0,0.7,0,1
COMPOSITION,COOLING,0.98,9.8,0.15,0.7,0,0.15,0,0,0,0,0,0,0,1
COMPOSITION,VENTILATION,0.34,3.4,0,0,1,0,0,0,0,0,0,0,0,1
COMPOSITION,HOTWATER,0.07,0.7,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,COOKING,0.04,0.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,REFRIGERATION,0.08,0.8,0,0.85,0,0,0.15,0,0,0,0,0,0,1
COMPOSITION,OUTDOOR_LIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,INDOOR_LIGHTS,1.05,10.5,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,OFFICE_EQUIPMENT,0.49,4.9,1,0,0,0,0,0,0,0,0,0,0,1
COMPOSITION,MISCELLANEOUS,0.24,2.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,PROCESS,0.01,0.1,0.3,0,0.2,0.4,0,0,0,0,0,0.1,0,1
COMPOSITION,MOTORS,0.24,2.4,0,0,0,0,1,0,0,0,0,0,0,1
COMPOSITION,COMPRESSORS,0.16,1.6,0,0,0,0,1,0,0,0,0,0,0,1
NORMALIZE,FLOORAREA,165,326,330,219,337,339,267,362,359,286,50,79,62,3180
HEADER,CEUSCODE,HEATING,COOLING,VENTILATION,HOTWATER,COOKING,REFRIGERATION,OUTDOOR_LIGHTS,INDOOR_LIGHTS,OFFICE_EQUIPMENT,MISCELLANEOUS,PROCESS,MOTORS,COMPRESSORS,TOTAL
DATA,1123,9.11818457,9.669978516,24.06688672,8.795935547,0.52400238,22.6802168,82.03495313,59.38676172,52.29575,16.226875,0.02609326,4.294980957,1.160481812,290
DATA,1124,10.83034863,8.503094727,24.90766406,8.782404297,0.513188049,22.66110156,82.03495313,50.17513672,52.24251953,16.13659668,0.02609326,4.199327637,1.120913208,282
DATA,1201,4.27845166,9.04987207,19.12030469,9.04065332,0.504729156,22.6618457,77.65330469,48.158375,52.42601953,16.12960938,0.026093248,3.155392334,1.121251709,263
DATA,1202,6.567369629,8.29302832,19.87714648,9.027225586,0.50156311,22.66082813,77.48844531,47.47703906,52.42418359,16.07718457,0.026093248,3.124380859,1.101389893,265
DATA,1203,8.606518555,7.456017578,21.12235742,9.029587891,0.511450745,22.66759375,75.63232813,47.40326563,52.53838672,16.12801465,0.026093248,3.134103027,1.108974731,265
DATA,1204,10.0264668,7.976314941,22.75680469,9.064388672,0.579358521,22.70993164,73.22050781,48.58612891,53.32722266,16.51127344,0.026093248,3.243851563,1.181921753,269
DATA,1205,13.23923438,8.013970215,25.63038086,9.153198242,0.727589111,22.76605664,71.67814844,54.95700781,55.25742188,17.19323242,0.027907722,5.539992676,1.301172119,285
DATA,1206,13.08884668,8.09839502,29.4592793,9.42197168,1.173762085,22.88671289,69.03684375,72.60492188,61.11609766,19.52152734,0.04754591,5.998280762,1.702957153,314
DATA,1207,26.78842969,9.40075293,37.42824609,10.36472656,3.200707764,23.28938086,56.46236719,135.1298281,83.67255469,27.93020703,0.135658722,7.850379883,3.242053955,425
DATA,1208,40.14009766,22.06849219,64.79764844,12.53662695,7.3973125,24.28939648,1.113148315,239.4864844,123.7610156,42.90230469,0.292987732,12.86607227,6.903291504,599
